ENSEMBL ID,HGNC Symbol,WGCNA module color,WGCNA Module Label
ENSG00000120656,TAF12,grey,11
ENSG00000120658,ENOX1,grey,11
ENSG00000120662,MTRF1,turquoise,24
ENSG00000120675,DNAJC15,grey,11
ENSG00000120685,PROSER1,turquoise,24
ENSG00000120686,UFM1,red,20
ENSG00000120688,WBP4,grey,11
ENSG00000120690,ELF1,purple,19
ENSG00000120693,SMAD9,lightyellow,15
ENSG00000120694,HSPH1,grey,11
ENSG00000120696,KBTBD7,brown,3
ENSG00000120697,ALG5,blue,2
ENSG00000120699,EXOSC8,blue,2
ENSG00000120705,ETF1,grey60,12
ENSG00000120708,TGFBI,pink,18
ENSG00000120709,FAM53C,grey60,12
ENSG00000120725,SIL1,grey,11
ENSG00000120727,PAIP2,brown,3
ENSG00000120733,KDM3B,grey,11
ENSG00000120738,EGR1,yellow,25
ENSG00000120742,SERP1,green,9
ENSG00000120756,PLS1,yellow,25
ENSG00000120784,ZFP30,grey,11
ENSG00000120798,NR2C1,grey,11
ENSG00000120800,UTP20,blue,2
ENSG00000120802,TMPO,darkturquoise,8
ENSG00000120805,ARL1,brown,3
ENSG00000120820,GLT8D2,yellow,25
ENSG00000120832,MTERFD3,grey,11
ENSG00000120833,SOCS2,grey,11
ENSG00000120837,NFYB,grey,11
ENSG00000120860,CCDC53,grey,11
ENSG00000120868,APAF1,grey,11
ENSG00000120875,DUSP4,grey,11
ENSG00000120885,CLU,green,9
ENSG00000120889,TNFRSF10B,purple,19
ENSG00000120896,SORBS3,turquoise,24
ENSG00000120899,PTK2B,black,1
ENSG00000120903,CHRNA2,yellow,25
ENSG00000120907,ADRA1A,red,20
ENSG00000120910,PPP3CC,grey,11
ENSG00000120913,PDLIM2,grey,11
ENSG00000120915,EPHX2,green,9
ENSG00000120925,RNF170,brown,3
ENSG00000120942,UBIAD1,blue,2
ENSG00000120948,TARDBP,turquoise,24
ENSG00000120963,ZNF706,grey,11
ENSG00000120992,LYPLA1,grey60,12
ENSG00000121005,CRISPLD1,grey,11
ENSG00000121022,COPS5,grey,11
ENSG00000121039,RDH10,grey,11
ENSG00000121053,EPX,darkgrey,6
ENSG00000121057,AKAP1,black,1
ENSG00000167779,IGFBP6,brown,3
ENSG00000121060,TRIM25,grey,11
ENSG00000121064,SCPEP1,lightcyan,13
ENSG00000121067,SPOP,grey,11
ENSG00000121073,SLC35B1,brown,3
ENSG00000168374,ARF4,grey60,12
ENSG00000121101,TEX14,tan,23
ENSG00000121104,FAM117A,turquoise,24
ENSG00000121207,LRAT,grey,11
ENSG00000121210,KIAA0922,grey,11
ENSG00000121270,ABCC11,tan,23
ENSG00000121274,PAPD5,grey,11
ENSG00000121281,ADCY7,grey,11
ENSG00000121289,CEP89,grey,11
